ID	name	code	semantic_tag	label	term
DT4H-MedR141	Zofenopril calcium	703341006	substance	FARMACO	Zofenopril calcium
DT4H-MedR142	Zofenopril	703340007	substance	FARMACO	Zofenopril
DT4H-MedR143	Delapril hydrochloride	700066002	substance	FARMACO	Delapril hydrochloride
DT4H-MedR144	Delapril	698093003	substance	FARMACO	Delapril
DT4H-MedR145	Perindopril arginine	442509000	substance	FARMACO	Perindopril arginine
DT4H-MedR146	Imidapril	395984005	substance	FARMACO	Imidapril
DT4H-MedR147	Cilazapril	395947008	substance	FARMACO	Cilazapril
DT4H-MedR148	Imidapril hydrochloride	395741003	substance	FARMACO	Imidapril hydrochloride
DT4H-MedR149	Enalapril maleate	387165009	substance	FARMACO	Enalapril maleate
DT4H-MedR150	Captopril	387160004	substance	FARMACO	Captopril
DT4H-MedR151	Quinapril hydrochloride	386875002	substance	FARMACO	Quinapril hydrochloride
DT4H-MedR152	Quinapril	386874003	substance	FARMACO	Quinapril
DT4H-MedR153	Lisinopril	386873009	substance	FARMACO	Lisinopril
DT4H-MedR154	Ramipril	386872004	substance	FARMACO	Ramipril
DT4H-MedR155	Trandolapril	386871006	substance	FARMACO	Trandolapril
DT4H-MedR156	Moexipril	373442003	substance	FARMACO	Moexipril
DT4H-MedR157	Perindopril	372916001	substance	FARMACO	Perindopril
DT4H-MedR158	Enalapril	372658000	substance	FARMACO	Enalapril
DT4H-MedR159	Benazepril	372511001	substance	FARMACO	Benazepril
DT4H-MedR160	Fosinopril	372510000	substance	FARMACO	Fosinopril
DT4H-MedR161	Perindopril erbumine	129485000	substance	FARMACO	Perindopril erbumine
DT4H-MedR162	Benazepril hydrochloride	108573008	substance	FARMACO	Benazepril hydrochloride
DT4H-MedR163	Fosinopril sodium	108570006	substance	FARMACO	Fosinopril sodium
DT4H-MedR164	Moexipril hydrochloride	108567007	substance	FARMACO	Moexipril hydrochloride
DT4H-MedR165	Enalaprilat	48052001	substance	FARMACO	Enalaprilat
DT4-MedR17	"Substance with renin inhibitor mechanism 
of action "	426228001	substance	FARMACO	"Substance with renin inhibitor mechanism 
of action "
DT4-MedR171	Aliskiren	426725002	substance	FARMACO	Aliskiren
DT4-MedR172	Aliskiren fumarate	425981005	substance	FARMACO	Aliskiren fumarate
DT4H-MedA111	Lisinopril dihydrate	341000220102	substance	FARMACO	Lisinopril dihydrate
DT4H-MedA112	Lisinopril anhydrous	1269132005	substance	FARMACO	Lisinopril anhydrous
DT4H-MedA113	Cilazapril anhydrous	1268982005	substance	FARMACO	Cilazapril anhydrous
DT4H-MedA114	Perindopril erbumine monohydrate	1119308007	substance	FARMACO	Perindopril erbumine monohydrate
DT4H-MedA115	Enalapril sodium	1119307002	substance	FARMACO	Enalapril sodium
DT4H-MedA116	Perindopril tosylate	735174001	substance	FARMACO	Perindopril tosylate
DT4H-MedA117	Cilazapril monohydrate	725786001	substance	FARMACO	Cilazapril monohydrate
DT4H-MedA118	Spirapril	713473008	substance	FARMACO	Spirapril
DT4H-MedA119	Zofenoprilat arginine	703343009	substance	FARMACO	Zofenoprilat arginine
DT4H-MedA120	Zofenoprilat	703342004	substance	FARMACO	Zofenoprilat
DT4H-MedA121	Zofenopril calcium	703341006	substance	FARMACO	Zofenopril calcium
DT4H-MedA122	Zofenopril	703340007	substance	FARMACO	Zofenopril
DT4H-MedA123	Delapril hydrochloride	700066002	substance	FARMACO	Delapril hydrochloride
DT4H-MedA124	Delapril	698093003	substance	FARMACO	Delapril
DT4H-MedA125	Perindopril arginine	442509000	substance	FARMACO	Perindopril arginine
DT4H-MedA126	Imidapril	395984005	substance	FARMACO	Imidapril
DT4H-MedA127	Cilazapril	395947008	substance	FARMACO	Cilazapril
DT4H-MedA128	Imidapril hydrochloride	395741003	substance	FARMACO	Imidapril hydrochloride
DT4H-MedA129	Enalapril maleate	387165009	substance	FARMACO	Enalapril maleate
DT4H-MedA130	Captopril	387160004	substance	FARMACO	Captopril
DT4H-MedA131	Quinapril hydrochloride	386875002	substance	FARMACO	Quinapril hydrochloride
DT4H-MedA132	Quinapril	386874003	substance	FARMACO	Quinapril
DT4H-MedA133	Lisinopril	386873009	substance	FARMACO	Lisinopril
DT4H-MedA134	Ramipril	386872004	substance	FARMACO	Ramipril
DT4H-MedA135	Trandolapril	386871006	substance	FARMACO	Trandolapril
DT4H-MedA136	Moexipril	373442003	substance	FARMACO	Moexipril
DT4H-MedA137	Perindopril	372916001	substance	FARMACO	Perindopril
DT4H-MedA138	Enalapril	372658000	substance	FARMACO	Enalapril
DT4H-MedA139	Benazepril	372511001	substance	FARMACO	Benazepril
DT4H-MedA140	Fosinopril	372510000	substance	FARMACO	Fosinopril
DT4H-MedA141	Perindopril erbumine	129485000	substance	FARMACO	Perindopril erbumine
DT4H-MedA142	Benazepril hydrochloride	108573008	substance	FARMACO	Benazepril hydrochloride
DT4H-MedA143	Fosinopril sodium	108570006	substance	FARMACO	Fosinopril sodium
DT4H-MedA144	Moexipril hydrochloride	108567007	substance	FARMACO	Moexipril hydrochloride
DT4H-MedA145	Enalaprilat	48052001	substance	FARMACO	Enalaprilat
DT4H-MedAR111	Fimasartan potassium trihydrate	1332434009	substance	FARMACO	Fimasartan potassium trihydrate
DT4H-MedAR112	Fimasartan	1332433003	substance	FARMACO	Fimasartan
DT4H-MedAR113	Azilsartan medoxomil potassium	895431005	substance	FARMACO	Azilsartan medoxomil potassium
DT4H-MedAR114	Irbesartan hydrochloride	734504000	substance	FARMACO	Irbesartan hydrochloride
DT4H-MedAR115	Azilsartan medoxomil	449561004	substance	FARMACO	Azilsartan medoxomil
DT4H-MedAR116	Azilsartan	449042005	substance	FARMACO	Azilsartan
DT4H-MedAR117	Olmesartan medoxomil	412260006	substance	FARMACO	Olmesartan medoxomil
DT4H-MedAR118	Olmesartan	412259001	substance	FARMACO	Olmesartan
DT4H-MedAR119	Eprosartan	396044005	substance	FARMACO	Eprosartan
DT4H-MedAR120	Telmisartan	387069000	substance	FARMACO	Telmisartan
DT4H-MedAR121	Candesartan cilexetil	386878000	substance	FARMACO	Candesartan cilexetil
DT4H-MedAR122	Irbesartan	386877005	substance	FARMACO	Irbesartan
DT4H-MedAR123	Valsartan	386876001	substance	FARMACO	Valsartan
DT4H-MedAR124	Losartan	373567002	substance	FARMACO	Losartan
DT4H-MedAR125	Candesartan	372512008	substance	FARMACO	Candesartan
DT4H-MedAR126	Eprosartan mesilate	129488003	substance	FARMACO	Eprosartan mesilate
DT4H-MedAR127	Losartan potassium	108582002	substance	FARMACO	Losartan potassium
DT4H-MedM111	Finerenone	1163346008	substance	FARMACO	Finerenone
DT4H-MedM112	Potassium canrenoate	419615001	substance	FARMACO	Potassium canrenoate
DT4H-MedM113	Eplerenone	407010008	substance	FARMACO	Eplerenone
DT4H-MedM114	Spironolactone	387078006	substance	FARMACO	Spironolactone
DT4H-MedM115	Canrenone	96291007	substance	FARMACO	Canrenone
DT4H-MedD11	diuretics other	Ø	substance	FARMACO	diuretics other
DT4H-MedD111	acetazolamide	372709008	substance	FARMACO	acetazolamide
DT4H-MedD112	aminometradine	80253002	substance	FARMACO	aminometradine
DT4H-MedD113	amisometradine	39263003	substance	FARMACO	amisometradine
DT4H-MedD114	chlorazanil	88802007	substance	FARMACO	chlorazanil
DT4H-MedD115	cicletanine	735156005	substance	FARMACO	cicletanine
DT4H-MedD116	cicletanine hydrochloride	735160008	substance	FARMACO	cicletanine hydrochloride
DT4H-MedD117	conivaptan	421858002	substance	FARMACO	conivaptan
DT4H-MedD118	conivaptan hydrochloride	735160008	substance	FARMACO	conivaptan hydrochloride
DT4H-MedD119	flumethiazide	6513000	substance	FARMACO	flumethiazide
DT4H-MedD120	pamabrom	116552006	substance	FARMACO	pamabrom
DT4H-MedD121	tolvaptan	443058000	substance	FARMACO	tolvaptan
DT4H-MedD13	Mercurial diuretic	373751005	substance	FARMACO	Mercurial diuretic
DT4H-MedD131	Mersalyl sodium	395784002	substance	FARMACO	Mersalyl sodium
DT4H-MedD132	Mersalyl	387157006	substance	FARMACO	Mersalyl
DT4H-MedD133	Mercaptomerin	362947006	substance	FARMACO	Mercaptomerin
DT4H-MedD134	Meralluride	85391002	substance	FARMACO	Meralluride
DT4H-MedD135	Chlormerodrin	74589005	substance	FARMACO	Chlormerodrin
DT4H-MedD136	Merethoxylline procaine	49022000	substance	FARMACO	Merethoxylline procaine
DT4H-MedD137	Mercumatilin	33667000	substance	FARMACO	Mercumatilin
DT4H-MedD138	Mercaptomerin sodium	30333004	substance	FARMACO	Mercaptomerin sodium
DT4H-MedD14	Osmotic diuretic	372792005	substance	FARMACO	Osmotic diuretic
DT4H-MedD141	Mannitol	387168006	substance	FARMACO	Mannitol
DT4H-MedD142	Urea	387092000	substance	FARMACO	Urea
DT4H-MedD143	Isosorbide	386853004	substance	FARMACO	Isosorbide
DT4H-MedD15	Potassium sparing diuretic	372753003	substance	FARMACO	Potassium sparing diuretic
DT4H-MedD151	Amiloride hydrochloride anhydrous	1268944002	substance	FARMACO	Amiloride hydrochloride anhydrous
DT4H-MedD152	Finerenone	1163346008	substance	FARMACO	Finerenone
DT4H-MedD153	Potassium canrenoate	419615001	substance	FARMACO	Potassium canrenoate
DT4H-MedD154	Amiloride hydrochloride dihydrate	412082007	substance	FARMACO	Amiloride hydrochloride dihydrate
DT4H-MedD155	Eplerenone	407010008	substance	FARMACO	Eplerenone
DT4H-MedD156	Amiloride hydrochloride	387516008	substance	FARMACO	Amiloride hydrochloride
DT4H-MedD157	Amiloride	387503008	substance	FARMACO	Amiloride
DT4H-MedD158	Spironolactone	387078006	substance	FARMACO	Spironolactone
DT4H-MedD159	Triamterene	387053007	substance	FARMACO	Triamterene
DT4H-MedD160	Aldosterone receptor antagonist	372603003	substance	FARMACO	Aldosterone receptor antagonist
DT4H-MedD161	Canrenone	96291007	substance	FARMACO	Canrenone
DT4H-MedD17	Purine-derivative diuretic	419151007	substance	FARMACO	Purine-derivative diuretic
DT4H-MedD171	Choline theophyllinate	387489007	substance	FARMACO	Choline theophyllinate
DT4H-MedD172	Theobromine	75371004	substance	FARMACO	Theobromine
DT4H-MedD18	Saluretic agent	372660003	substance	FARMACO	Saluretic agent
DT4H-MedD181	Butizide	20551000122108	substance	FARMACO	Butizide
DT4H-MedD182	Bumetanide	387498005	substance	FARMACO	Bumetanide
DT4H-MedD183	Furosemide	387475002	substance	FARMACO	Furosemide
DT4H-MedD184	Chlortalidone	387324004	substance	FARMACO	Chlortalidone
DT4H-MedD185	Ethacrynic acid	373536004	substance	FARMACO	Ethacrynic acid
DT4H-MedD186	Chlorothiazide	372782002	substance	FARMACO	Chlorothiazide
DT4H-MedD187	Torasemide	108476002	substance	FARMACO	Torasemide
DT4H-MedD188	Canrenone	96291007	substance	FARMACO	Canrenone
DT4H-MedD189	Ethacrynate sodium	75341007	substance	FARMACO	Ethacrynate sodium
DT4H-MedD190	Benzthiazide	66290002	substance	FARMACO	Benzthiazide
DT4H-MedD191	Tienilic acid	64029000	substance	FARMACO	Tienilic acid
DT4H-MedD192	Quinethazone	41261002	substance	FARMACO	Quinethazone
DT4H-MedD193	Cyclothiazide	37006008	substance	FARMACO	Cyclothiazide
DT4H-MedD194	Trichlormethiazide	11473005	substance	FARMACO	Trichlormethiazide
DT4H-MedD195	Chlorothiazide sodium	8252004	substance	FARMACO	Chlorothiazide sodium
DT4H-MedD2	Sulfonamide diuretic	43585000	substance	FARMACO	Sulfonamide diuretic
DT4H-MedD201	Indapamide hemihydrate	725661001	substance	FARMACO	Indapamide hemihydrate
DT4H-MedD202	Mefruside	406772008	substance	FARMACO	Mefruside
DT4H-MedD203	Clopamide	395940005	substance	FARMACO	Clopamide
DT4H-MedD204	Xipamide	395923001	substance	FARMACO	Xipamide
DT4H-MedD205	Bumetanide	387498005	substance	FARMACO	Bumetanide
DT4H-MedD206	Furosemide	387475002	substance	FARMACO	Furosemide
DT4H-MedD207	Indapamide	387419003	substance	FARMACO	Indapamide
DT4H-MedD208	Chlortalidone	387324004	substance	FARMACO	Chlortalidone
DT4H-MedD209	Metolazone	387123003	substance	FARMACO	Metolazone
DT4H-MedD210	Ethoxyzolamide	63203003	substance	FARMACO	Ethoxyzolamide
DT4H-MedD211	Methazolamide	53052005	substance	FARMACO	Methazolamide
DT4H-MedD212	Quinethazone	41261002	substance	FARMACO	Quinethazone
DT4H-MedD22	Thiazide diuretic	372747003	substance	FARMACO	Thiazide diuretic
DT4H-MedD221	Butizide	20551000122108	substance	FARMACO	Butizide
DT4H-MedD222	Althiazide	717101002	substance	FARMACO	Althiazide
DT4H-MedD223	Mefruside	406772008	substance	FARMACO	Mefruside
DT4H-MedD224	Cyclopenthiazide	396009008	substance	FARMACO	Cyclopenthiazide
DT4H-MedD225	Hydroflumethiazide	395946004	substance	FARMACO	Hydroflumethiazide
DT4H-MedD226	Hydrochlorothiazide	387525002	substance	FARMACO	Hydrochlorothiazide
DT4H-MedD227	Bendroflumethiazide	387520007	substance	FARMACO	Bendroflumethiazide
DT4H-MedD228	Polythiazide	387492006	substance	FARMACO	Polythiazide
DT4H-MedD229	Methyclothiazide	387373008	substance	FARMACO	Methyclothiazide
DT4H-MedD230	Chlorothiazide	372782002	substance	FARMACO	Chlorothiazide
DT4H-MedD231	Benzthiazide	66290002	substance	FARMACO	Benzthiazide
