filename	off0	off1	code	span	semantic_rel
es-S1130-01082008000500016-2	1022	1116	274535006	acúmulo patológico de radiotrazador a dicho nivel, así como en región supraorbitaria izquierda	NARROW
es-S0211-69952015000200015-1	1520	1559	300441003	adecuada diferenciación cortico-medular	NARROW
es-S0376-78922012000300005-1	2423	2459	63049000	adecuada formación ósea longitudinal	NARROW
es-S0210-56912010000400009-1	1263	1292	271591004	adecuado nivel de consciencia	EXACT
es-S0210-48062009000200018-1	851	865	262285001	adelgazamiento	EXACT
es-S0365-66912011000800006-1	1666	1717	423459005	adelgazamiento corneal sobre la zona de perforación	EXACT
es-S0365-66912011000400005-1	939	962	246984001	adelgazamiento estromal	EXACT
es-S0365-66912007000300011-1	2630	2662	123561001	adelgazamiento femoral bilateral	NARROW
es-S0376-78922009000300010-1	1538	1587	1202017008	adelgazamiento por desgrasamiento de los colgajos	EXACT
es-S0004-06142009000300014-4	252	297	70190001	adherida a peritoneo parietal y parietocólico	EXACT
es-S0210-48062009000400017-1	1861	1932	118247008	administración de gadolinio se observó una discreta captación del mismo	NARROW
es-S0212-16112004000400007-1	2733	2739	87486003	afasia	EXACT
es-S0210-48062006000700010-1	1727	1734	87273009	afebril	EXACT
es-S0210-56912010000200009-1	1696	1703	87273009	afebril	EXACT
es-S0212-16112004000400007-1	810	817	87273009	afebril	EXACT
es-S0212-16112004000400007-1	2799	2806	87273009	afebril	EXACT
es-S0212-16112012000300028-1	454	461	87273009	afebril	EXACT
es-S0212-71992004001100007-1	1238	1245	87273009	afebril	EXACT
es-S0212-71992005000700008-1	830	837	87273009	afebril	EXACT
es-S0212-71992006000200006-1	1272	1279	87273009	afebril	EXACT
es-S0212-71992006000700008-1	1119	1126	87273009	afebril	EXACT
es-S0212-71992007000400005-1	1673	1680	87273009	afebril	EXACT
es-S0378-48352006000900006-1	418	425	87273009	afebril	EXACT
es-S1130-01082007000600012-1	2607	2614	87273009	afebril	EXACT
es-S1130-01082007000600012-1	2557	2564	87273009	afebril	EXACT
es-S1130-01082007000700011-2	1235	1242	87273009	afebril	EXACT
es-S1130-01082010000300015-1	299	306	87273009	afebril	EXACT
es-S1130-01082010000600012-1	1248	1255	87273009	afebril	EXACT
es-S0004-06142009000500009-1	588	595	87273009	afebril	EXACT
es-S0004-06142008000700015-2	352	359	87273009	Afebril	EXACT
es-S0210-48062003000800013-1	1725	1748	126874009	afecta grasa perirrenal	NARROW
es-S0376-78922009000100011-1	4314	4379	249250005+700081008	afecta profundamente también al glande y a los tejidos perineales	COMPOSITE
es-S0210-48062006000900014-1	570	602	724386005	afectación de genitales externos	EXACT
es-S0004-06142008000600014-1	1971	2030	370066002+363452003+363453008	afectación de la albugínea, epidídimo ni cordón espermático	COMPOSITE
es-S1130-01082008001000010-1	1313	1351	734045002	afectación de la grasa peripancreática	NARROW
es-S0210-48062003000800013-1	1753	1798	406123005+405967002	afectación de los sistemas excretor ni venoso	COMPOSITE
es-S0210-48062003000800013-1	1959	2003	254928005+405965005	afectación de los sistemas excretor y venoso	COMPOSITE
es-S0365-66912012000300003-1	1522	1555	298004008+95324001	afectación de mucosa nasal y piel	COMPOSITE
es-S0210-48062007001000016-1	2565	2600	15188001	afectación de sus niveles auditivos	EXACT
es-S0212-71992004000600005-1	969	998	285384003	afectación del estado general	EXACT
es-S1130-01082006000100014-1	986	1015	285384003	afectación del estado general	EXACT
es-S1130-01082007000700016-1	130	159	285384003	afectación del estado general	EXACT
es-S0004-06142008000600014-1	323	352	285384003	afectación del estado general	EXACT
es-S0212-16112007000800012-1	2259	2297	119522002	afectación difusa de intestino delgado	EXACT
es-S1130-01082011000500014-1	872	922	737201004	afectación grave de la mucosa desde el margen anal	NARROW
es-S0211-69952011000400013-1	1133	1155	445925008	afectación linfomatosa	EXACT
es-S1130-01082008000800011-1	1255	1319	262523007+262524001	afectación lítica en cuerpos vertebrales a nivel dorsal y lumbar	COMPOSITE
es-S0365-66912012000800004-1	1980	2018	128331005+77157004	afectación macular y del nervio óptico	COMPOSITE
es-S0210-56912010000200009-1	756	787	409609008	afectación parenquimatosa basal	NARROW
es-S0212-16112012000300028-1	3719	3864	128078004	afectación polirradicular sensitivo-motora de predominio axonal severa de extremidades inferiores (EEII) y leve de extremidades superiores (EESS)	NARROW
es-S0210-56912010000200009-1	554	588	19829001	afectación pulmonar parenquimatosa	EXACT
es-S0211-69952012000700031-1	1166	1199	19829001+118940003	afectación pulmonar y neurológica	COMPOSITE
es-S0365-66912012000800004-1	603	621	68633000	afectación pupilar	NARROW
es-S0211-69952011000600018-1	2500	2516	90708001	afectación renal	NARROW
es-S0211-69952011000600018-1	2794	2810	90708001	afectación renal	NARROW
es-S0376-78922009000100011-1	4157	4202	400019007	afectas a la piel del pubis, escroto y periné	NARROW
es-S0210-48062007000100012-1	670	681	166558007	AFP: normal	EXACT
es-S0210-48062007000400013-1	740	745	427617000	aftas	EXACT
es-S0465-546X2008000200010-1	762	774	83312008	aftas orales	EXACT
es-S0212-71992007000300006-1	2469	2478	24199005	agitación	EXACT
es-S0212-16112012000300028-1	850	859	24199005	agitación	EXACT
es-S1130-01082007001000017-1	1337	1358	47295007	agitación psicomotriz	EXACT
es-S0212-71992007000300006-1	3521	3542	47295007	agitación psicomotriz	EXACT
es-S0210-56912006000200007-1	187	194	24199005	agitado	EXACT
es-S0365-66912007001200012-1	596	646	82132006	agudeza visual (AV) era de la unidad en ambos ojos	EXACT
es-S0365-66912006001200009-1	1902	1929	82132006	agudeza visual de la unidad	EXACT
es-S0365-66912007000800012-1	1877	1954	817008006+1010451003	agudeza visual de percepción de luz en OD y 0,1 con fijación excéntrica en OI	COMPOSITE
es-S0365-66912005001200010-1	359	437	343051000119108	agudeza visual era de cuenta dedos en el ojo derecho (OD) y amaurosis en el OI	EXACT
es-S0004-06142009000500009-1	1534	1566	285841006	aire ectópico en la pelvis menor	NARROW
es-S0004-06142009000500013-1	675	757	122449004	aire en el riñón izquierdo y tejidos perirrenales, que infiltra la pared abdominal	NARROW
es-S0004-06142009000500013-1	607	628	122449004	aire en la fosa renal	NARROW
es-S0212-71992006000100005-1	2360	2416	787182003	aislamiento de Trichophyton mentagrophytes en el cultivo	EXACT
es-S0212-16112013000300056-1	1457	1507	442635007	aislamientos previos de Staphylococcus epidermidis	NARROW
es-S0212-16112013000300056-1	1999	2065	429268001	aislamientos: Staphylococcus epidermidis en el catéter funcionante	NARROW
es-S0212-16112007000800011-1	1605	1638	111975006+164947007	alargamiento del espacio QT ni PR	COMPOSITE
es-S0365-66912011000900005-1	648	666	128274005	alas nasales finas	NARROW
es-S0211-69952012000500016-1	2135	2146	274769005	albuminuria	EXACT
es-S0211-69952013000700025-1	912	923	274769005	albuminuria	EXACT
es-S0211-69952017000200225-2	461	472	274769005	albuminuria	EXACT
es-S0211-69952012000500016-1	1716	1727	274769005	albuminuria	EXACT
es-S0212-16112012000300028-1	1010	1032	111378004	alcalosis respiratoria	EXACT
es-S0212-16112012000300028-1	3919	3925	248234008	alerta	EXACT
es-S0376-78922015000200010-1	1817	1823	248234008	alerta	EXACT
es-S0212-71992004000800009-1	2669	2692	166558007	alfafetoproteina normal	EXACT
es-S1130-01082007000400016-1	1098	1143	707724006	ALT y AST mayores de 20 veces el valor normal	EXACT
es-S1130-01082007000400016-1	397	439	166642001	ALT y AST menos de 3 veces el valor normal	EXACT
es-S0210-48062007000400013-1	999	1030	166643006	alteración de enzimas hepáticas	EXACT
es-S0004-06142008000400010-1	562	593	170728008	alteración de la agudeza visual	EXACT
es-S0376-78922012000300005-1	3281	3310	85972008	alteración de la sensibilidad	EXACT
es-S1130-01082007000600012-1	1182	1217	19829001	alteración de los hilios pulmonares	NARROW
es-S0211-69952012000700031-1	1354	1386	166603001	alteración de los test hepáticos	EXACT
es-S0212-71992006000200006-1	2409	2466	366342008+49051001	alteración de pares craneales ni reflejos osteotendinosos	COMPOSITE
es-S0004-06142007000900014-1	146	178	88111009	alteración del hábito intestinal	EXACT
es-S0212-71992006000800008-1	209	241	88111009	alteración del hábito intestinal	EXACT
es-S1130-01082007000600012-1	445	477	88111009	alteración del hábito intestinal	EXACT
es-S0210-56912006000800008-1	1777	1814	409674002	alteración en el tiempo de protromina	EXACT
es-S0376-78922014000200011-1	2691	2714	22325002	alteración en la marcha	EXACT
es-S0210-48062004000500008-1	2455	2487	5413009	alteración en la potencia sexual	EXACT
es-S1130-01082008000100009-1	277	327	165563002	alteración en las pruebas de coagulación sanguínea	EXACT
es-S0210-48062010000100019-3	1086	1116	422773005	alteración hemodinámica severa	EXACT
es-S0212-16112012000300029-1	1373	1409	105593004	alteración hidroelectrolítica severa	EXACT
es-S1130-01082007000400016-1	274	310	166603001	alteración mixta del perfil hepático	NARROW
es-S1130-01082007000700011-2	1429	1461	118940003	alteraciones a nivel neurológico	EXACT
es-S0212-71992007000600008-1	3158	3216	19829001	alteraciones bilaterales y difusas del parénquima pulmonar	NARROW
es-S0211-57352011000100008-1	149	173	430909002	alteraciones de conducta	EXACT
es-S0211-69952012000200030-1	1980	2010	64779008	alteraciones de la coagulación	EXACT
es-S0365-66912006000400010-1	346	383	404625000	alteraciones de la posición palpebral	EXACT
es-S0212-16112012000300028-1	1566	1604	26436007	alteraciones del equilibrio ácido-base	EXACT
es-S0212-71992007000300007-1	198	219	23168003	alteraciones del habl	EXACT
es-S0212-71992006000100005-1	1128	1159	698247007	alteraciones del ritmo cardíaco	EXACT
es-S1130-01082008000100010-1	2504	2538	102594003	alteraciones electrocardiográficas	EXACT
es-S1130-01082008000100010-1	2929	2963	102594003	alteraciones electrocardiográficas	EXACT
es-S0211-57352011000100008-1	2265	2292	105593004	alteraciones electrolíticas	EXACT
es-S0212-16112010000600022-1	1981	2008	105593004	alteraciones electrolíticas	EXACT
es-S0211-57352011000100008-1	1625	1652	105593004	alteraciones electrolíticas	EXACT
es-S0376-78922009000200008-1	2109	2134	22325002	alteraciones en la marcha	EXACT
es-S0004-06142008000400010-1	1797	1823	38671000119103	alteraciones en la micción	EXACT
es-S0210-48062009000300013-5	805	831	422773005	alteraciones hemodinámicas	EXACT
es-S0212-16112010000600022-1	1195	1227	76314005	alteraciones hidroelectrolíticas	EXACT
es-S0212-16112010000600022-1	766	798	76314005	alteraciones hidroelectrolíticas	EXACT
es-S0210-48062005000300016-2	1976	2007	66579008	alteraciones intra-peritoneales	EXACT
es-S1130-01082008000200009-1	616	643	234467004	alteraciones protrombóticas	EXACT
es-S1130-01082008000200009-3	459	486	234467004	alteraciones protrombóticas	EXACT
es-S1130-01082007000500016-1	424	472	88111009	alteraciones recientes en el tránsito intestinal	EXACT
es-S0365-66912011001000004-1	607	630	29555009	alteraciones retinianas	EXACT
es-S0210-48062009000300017-1	411	459	373408007	alteraciones tróficas en extremidades inferiores	NARROW
es-S0212-71992006000100005-1	2471	2498	717159009	Alternaria sp en el cultivo	NARROW
es-S0465-546X2014000300010-1	555	567	64882008	alza térmica	EXACT
es-S0365-66912007001200012-1	1474	1520	310293008	AMA (Anticuerpos antimitocondriales) negativos	EXACT
es-S0365-66912009001100005-1	331	339	387742006	amblíope	EXACT
es-S1130-01082008001000010-1	453	485	166571005	Amilasa y lipasa fueron normales	EXACT
es-S0378-48352005000400004-1	1355	1389	68790008	amiloide con tinción de Rojo Congo	NARROW
es-S0004-06142010000500014-1	1315	1376	719725008	amplificación genómica (PCR) para M.tuberculosis fue negativa	EXACT
es-S0365-66912005000600011-1	633	686	246878000	ampolla grande en sector nasal de la conjuntiva bulba	NARROW
es-S0211-69952010000400013-1	894	907	165850001	ANA positivos	EXACT
es-S0212-71992006001000008-1	1641	1654	165850001	ANA positivos	EXACT
es-S0365-66912006001200009-1	1357	1403	165851002+310255003+166165005	ANA, ANCA, ac antifosfolípidos fueron normales	COMPOSITE
es-S0211-69952010000400013-1	1045	1128	165850001+310258001+310260004+165839004	ANA, anticuerpos anti-Ro, anti-LA y factor reumatoide (FR) se mantuvieron positivos	COMPOSITE
es-S0378-48352004000200007-1	972	1004	442082004	análisis de laboratorio normales	NARROW
es-S1130-01082007001000017-1	1078	1161	442184000	análisis de orina resultó positivo para cocaína y sus metabolitos y benzodiazepinas	NARROW
es-S0365-66912008000700008-1	1001	1103	442082004+169064005	análisis de sangre y de la tomografía axial computarizada (TAC) realizada de urgencias fueron normales	COMPOSITE
es-S0365-66912012000200004-1	3046	3099	168288005	análisis microbiológico confirmó positividad para HVS	NARROW
es-S0004-06142007000900014-1	741	868	166315009+165406005+365783001	análisis rutinario bioquímico y hematológico, así como las pruebas de función suprarrenal se encuentran en rangos de normalidad	COMPOSITE
es-S1130-01082007001200012-1	1063	1208	165406005+166602006+166786002+166165005+399406009	análisis sistemático de sangre fue normal, así como la función hepática, la determinación de inmunoglobulinas, anticuerpos y marcadores tumorales	COMPOSITE
es-S0378-48352004000300007-1	262	323	166315009	analítica (incluyendo LDH) no se apreciaron valores anormales	EXACT
es-S0004-06142009000100013-1	976	1003	167221003	analítica de orina negativa	EXACT
es-S0212-71992006000100006-1	1754	1786	167221003	analítica de orina no patológica	EXACT
es-S0465-546X2008000200010-1	1105	1191	309157004+168733007+168703000	analítica general y unas radiografías simples de tórax y abdomen, que fueron normales,	COMPOSITE
es-S0210-56912007000900007-1	349	440	166315009+165406005	analítica sanguínea mostró normalidad iónica, hematológica y de la función renal y hepática	COMPOSITE
es-S0004-06142009000200013-1	598	661	166315009+165406005	analítica sanguínea resultó con valores dentro de la normalidad	COMPOSITE
es-S0465-546X2009000300008-1	2647	2706	166315009+165406005	analíticas mensuales en las que no se detectan alteraciones	COMPOSITE
es-S0210-48062003000800013-1	579	608	102834005	anamnesis urológica es normal	NARROW
es-S0212-16112012000600045-1	1014	1022	442433009	anasarca	EXACT
es-S0210-48062005000500016-1	1850	1875	62222003	anastomosis un buen pulso	NARROW
es-S0376-78922015000400013-1	243	314	10682871000119105	anfractuosidades en el tejido cutáneo-adiposo del dorso del pie derecho	NARROW
es-S0210-48062007000100011-1	539	545	225566008	angina	EXACT
es-S0365-66912006000700011-1	193	220	300995000	angina a pequeños esfuerzos	NARROW
es-S0365-66912009000800005-1	864	920	416318006	angio-resonancia magnética cerebral no detectó patología	EXACT
es-S0365-66912009000100008-1	837	851	251723005	ángulo abierto	EXACT
es-S0365-66912012000200004-1	1257	1275	251722000	ángulo era abierto	EXACT
es-S0365-66912006000600011-1	897	936	419422001	ángulo estrecho simétrico en ambos ojos	EXACT
es-S0365-66912006000400010-1	219	229	39659002	anhidrosis	EXACT
es-S0212-71992006000700008-1	1306	1323	28290006	ánimo inapropiado	EXACT
es-S1130-01082008000100017-1	692	713	57241006	anisocitosis moderada	EXACT
es-S0365-66912006000100010-1	1146	1156	13045009	anisocoria	EXACT
es-S0212-16112012000300028-1	2613	2648	26436007	anomalías del equilibrio ácido-base	EXACT
es-S0212-16112007000800012-1	488	508	5552004	anomalías en ovarios	EXACT
es-S0210-56912010000400009-1	1065	1085	27550009	anomalías vasculares	EXACT
es-S0004-06142008000700014-1	256	264	79890006	anorexia	EXACT
es-S0210-48062003000800013-1	420	428	79890006	anorexia	EXACT
es-S0210-48062004000500008-1	533	541	79890006	anorexia	EXACT
es-S0210-48062006000200017-1	1616	1624	79890006	anorexia	EXACT
es-S0210-48062009000200018-1	831	839	79890006	anorexia	EXACT
es-S0212-16112004000400007-1	629	637	79890006	anorexia	EXACT
es-S0212-71992000001200010-1	602	610	79890006	anorexia	EXACT
es-S0212-71992004000800009-1	144	152	79890006	anorexia	EXACT
es-S0212-71992006000800007-1	448	456	79890006	anorexia	EXACT
es-S0212-71992006000800007-1	2324	2332	79890006	anorexia	EXACT
es-S0365-66912006000700011-1	712	720	79890006	anorexia	EXACT
es-S0378-48352006000500005-1	210	218	79890006	anorexia	EXACT
es-S1130-01082005001000014-1	72	80	79890006	anorexia	EXACT
es-S1130-01082010000600013-1	269	277	79890006	anorexia	EXACT
es-S0378-48352006000900006-1	314	331	79890006	anorexia moderada	EXACT
es-S0211-69952010000400013-1	909	927	165851002	anti-ADN negativos	NARROW
es-S1130-05582005000300007-1	1474	1492	736687002	Anti-HBc: positivo	EXACT
es-S1130-05582005000300007-1	1494	1539	736687002	Anti-HBs cuantitativo: >1000 mUI/ml -positivo	EXACT
es-S1130-01082008000200009-3	377	417	166165005	anticardiolipina IgG en valores normales	NARROW
es-S0212-71992003000500006-1	1217	1243	165878000	anticardiolipina: negativo	NARROW
es-S0210-48062005000300016-2	2987	3157	165878000+310255003+165878000+165851002+165938006+NO_CODE	anticoagulante lúpico, ac. anti-cardiolipina, ANCA's, detección de crioglobulinas, ANA's, determinación de inmunoglobulinas y fracciones del complemento) resultó negativo	COMPOSITE
es-S1130-01082011000500014-1	2275	2347	166165005+NO_CODE+NO_CODE	anticuerpo antifosfolípidos, test de Ham y factor V de Leyden, negativos	COMPOSITE
es-S0212-71992005000700008-1	2711	2804	165865000	anticuerpos anti-cápsulas suprarrenales en suero por imnufluorescencia indirecta fue positiva	EXACT
es-S0212-71992006000700008-1	1725	1818	165878000+165878000+165780000+406108000	anticuerpos anti-Hu, antitiroides, serologías (lúes, VIH, virus neurotropos) fueron negativas	COMPOSITE
es-S1130-01082005001000014-1	1172	1256	165851002+310293008+310291005	anticuerpos anti-nucleares, anti-mitocondriales y anti-músculo liso fueron negativos	COMPOSITE
es-S0212-71992007000300007-1	1284	1358	310286009	anticuerpos anti-Yo que fueron positivos a títulos altos en suero y en LCR	NARROW
es-S0211-69952009000500014-1	1106	1184	165878000+165878000+165878000	anticuerpos anticardiolipina, anticoagulante lúpico y crioglobulinas negativos	COMPOSITE
es-S0212-71992006001000008-1	1694	1789	165878000+165840002	anticuerpos antiDNA, ENA, anticardiolipina, scl70, anticentrómero y factor reumatoide negativos	COMPOSITE
es-S0211-69952011000400013-1	2451	2579	165851002+310255003+165878000+165878000	anticuerpos antinucleares (ANA), anticitoplasma de neutrófilos (ANCA), anti-ADN y antimembrana basal glomerular fueron negativos	COMPOSITE
es-S0211-69952012000500016-1	1308	1457	165851002+165878000+310255003+736698001	anticuerpos antinucleares, anticuerpos anti-DNA, anticuerpos anticitoplásmicos de neutrófilos y antígenos de histocompatibilidad-B27 fueron negativos	COMPOSITE
es-S0212-71992007000600008-1	2240	2304	165851002+165840002+268375009	anticuerpos antinucleares, factor reumatoide, Mantoux, negativos	COMPOSITE
es-S1130-01082006000100014-1	767	849	165851002+168733007+309306009	anticuerpos antinucleares, radiografía de tórax y serología viral fueron negativos	COMPOSITE
es-S0211-69952009000500014-1	2135	2193	166165005+166165005	anticuerpos antitiroglobulina y antimicrosomales negativos	COMPOSITE
es-S0212-71992006001000008-1	1488	1543	166165005	anticuerpos antitiroglobulina y antiperoxidasa normales	NARROW
es-S0211-69952009000500014-1	1248	1302	165879008	anticuerpos antitransglutaminasa tisular IgA positivos	NARROW
es-S0212-71992007000600008-1	2612	2665	445201008	antígeno carcinoembrionario (CEA) se encontró elevado	EXACT
es-S0212-71992004000800009-1	3040	3074	365706007	antígeno criptocócico fue negativo	NARROW
es-S0365-66912007001200012-1	1522	1622	406010001+365863005+736693005+314707006	Antígeno de superficie VHB, Anticuerpo anti-HBs, Anticuerpo anti-HBc y Anticuerpo anti-VHC negativos	COMPOSITE
es-S0210-48062006000300015-1	569	607	155876003	anulación funcional de la unidad renal	EXACT
es-S0210-48062006000300015-1	1037	1052	155876003	anulación renal	EXACT
es-S0210-48062005000500016-1	1775	1781	2472002	anuria	EXACT
es-S0210-48062010000100019-3	1077	1083	2472002	anuria	EXACT
es-S0211-69952012000200030-1	1863	1869	2472002	anuria	EXACT
es-S0210-56912007000900007-3	63	69	2472002	anuria	EXACT
es-S0211-69952012000200030-1	1691	1697	2472002	anuria	EXACT
es-S0210-48062005000500016-1	1125	1131	2472002	anuria	EXACT
es-S0210-56912007000900007-1	1071	1078	2472002	anúrica	EXACT
es-S1130-01082009000700012-1	1006	1024	14720231000119109	apéndice epiploico	EXACT
es-S1130-01082009000700015-1	820	853	300307005	apéndice sin signos inflamatorios	NARROW
es-S0365-66912006001200009-1	806	849	403165009	arañazo de un gato en el muslo de la pierna	NARROW
es-S0212-71992007000600008-1	3594	3636	445895003	árbol bronquial no presentaba alteraciones	EXACT
es-S0213-12852004000500002-1	192	232	371083004	área edéntula del segundo molar superior	NARROW
es-S0004-06142008000600013-1	295	304	129680003	área fría	NARROW
es-S1130-01082008000900015-1	714	797	609626005	área hiperactiva focal en fosa iliaca derecha adyacente a la arteria iliaca derecha	NARROW
es-S0210-48062007000500016-1	3534	3577	300532006	área hiperecogénica en el lóbulo prostático	NARROW
es-S0212-71992007000300005-1	4051	4078	1217294009	áreas de vidrio deslustrado	EXACT
es-S0365-66912003000600010-1	3260	3301	79644001	áreas focales de hiper e hipopigmentación	NARROW
es-S0365-66912008000100007-2	761	798	247103004	áreas hipopigmentadas coriorretinales	NARROW
es-S0004-06142008000600014-1	687	702	16217341000119101	áreas quísticas	EXACT
es-S1130-01082011000500014-1	1564	1591	235878005	Arteria hepática prominente	NARROW
es-S0210-48062005000500016-1	1042	1083	168947002	arteriografia renal de control fue normal	EXACT
es-S0212-16112006000100018-1	407	435	1003721002	artralgias en ambas rodillas	EXACT
es-S0212-71992006000600007-1	1527	1573	363162000	artrocentesis dio salida a un fluido purulento	EXACT
es-S1130-01082005001000014-1	2615	2667	118435004	asa ileal de calibre normal con pliegues conservados	NARROW
es-S1130-01082005001000014-1	2382	2425	95539004	asas de íleon pélvico de calibre disminuido	NARROW
es-S0212-71992004000800009-1	1518	1573	249562008	asas intestinales con pequeña cantidad de líquido libre	NARROW
es-S0378-48352006000900006-1	775	813	118435004	asas yeyunales con niveles hidroaereos	NARROW
es-S0210-48062007001000016-1	2103	2134	1092791000119103	ascenso de los umbrales en oído	NARROW
es-S0365-66912009000100008-1	1725	1750	112222000	ascenso gradual de la PIO	EXACT
es-S0212-16112007000800012-1	1657	1664	389026000	ascitis	EXACT
es-S1130-01082011000500014-1	1270	1277	389026000	ascitis	EXACT
es-S0212-16112007000800012-1	4967	4974	389026000	ascitis	EXACT
es-S0212-16112011000600041-2	658	665	389026000	ascitis	EXACT
es-S1130-01082011000500014-1	1939	1946	389026000	Ascitis	EXACT
es-S0212-16112007000800012-1	242	249	389026000	ascitis	EXACT
es-S1130-01082011000500014-1	1685	1692	389026000	Ascitis	EXACT
es-S1130-01082011000500014-1	2635	2652	470757009	ascitis a tensión	EXACT
es-S0212-16112007000800012-1	144	159	52985009	ascitis quilosa	EXACT
es-S0212-16112012000300029-1	251	266	52985009	ascitis quilosa	EXACT
es-S0376-78922015000400013-1	113	160	449614009	asimetría de volumen de los miembros inferiores	NARROW
es-S0365-66912006000200012-1	1491	1567	277117000	asimetría en la morfología de las respuestas a la estimulación de ambos ojos	NARROW
es-S1130-05582003000600004-3	75	91	15253005	asimetría facial	EXACT
es-S1130-05582008000300005-1	333	349	15253005	asimetría facial	EXACT
es-S1130-05582003000600004-1	69	85	15253005	asimetría facial	EXACT
